CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
T_2M;T_2M;tas;;;ModelLevel;1;;point;mean;mean;;2;K;;24;i;1;;1;;;;;Near-Surface Air Temperature;;air_temperature;;atmos;
TMAX_2M;TMAX_2M;tasmax;;;ModelLevel;1;;;maximum;maximum within days time: mean over days;;2;K;;;a;1;;1;;;;;Daily Maximum Near-Surface Air Temperature;;air_temperature;;atmos;
TMIN_2M;TMIN_2M;tasmin;;;ModelLevel;1;;;minimum;minimum within days time: mean over days;;2;K;;;a;1;;1;;;;;Daily Minimum Near-Surface Air Temperature;;air_temperature;;atmos;
TOT_PREC;TOT_PREC;pr;;;ModelLevel;0.000277778;;mean;mean;mean;;0;kg m-2 s-1;;24;a;1;;1;;;;;Precipitation;;precipitation_flux;;atmos;
PS;PS;ps;;;ModelLevel;1;;point;mean;mean;;0;Pa;;24;i;1;;1;;;;;Surface Air Pressure;;surface_air_pressure;;atmos;
AEVAP_S;AEVAP_S;evspsbl;;;ModelLevel;-0.000277778;;mean;mean;mean;;0;kg m-2 s-1;;24;a;1;;1;;;;;Evaporation including Sublimation and Transpiration;;water_evaporation_flux;;atmos;
QV_2M;QV_2M;huss;;;ModelLevel;1;;point;mean;mean;;2;1;;24;i;1;;1;;;;;Near-Surface Specific Humidity;;specific_humidity;;atmos;
RELHUM_2M;RELHUM_2M;hurs;;;ModelLevel;1;;point;mean;mean;;2;%;;24;i;1;;1;;;;;Near-Surface Relative Humidity;;relative_humidity;;atmos;
PMSL;PMSL;psl;;;ModelLevel;1;;point;mean;mean;;0;Pa;;24;i;1;;1;;;;;Sea Level Pressure;;air_pressure_at_mean_sea_level;;atmos;
SP_10M;SP_10M;sfcWind;;;ModelLevel;1;;point;mean;mean;;10;m s-1;;24;i;1;;1;;;;;Near-Surface Wind Speed;;wind_speed;;atmos;
ULON_10M;ULON_10M;uas;;;ModelLevel;1;;point;mean;mean;;10;m s-1;;24;i;1;;1;;;;;Eastward Near-Surface Wind;;eastward_wind;;atmos;
VLAT_10M;VLAT_10M;vas;;;ModelLevel;1;;point;mean;mean;;10;m s-1;;24;i;1;;1;;;;;Northward Near-Surface Wind;;northward_wind;;atmos;
ACLCT;ACLCT;clt;;;ModelLevel;100;;mean;mean;mean;;0;%;;24;a;1;;1;;;;;Total Cloud Cover Percentage;;cloud_area_fraction;;atmos;
ASOD_S;ASOD_S;rsds;ASOB_S + ASODIFU_S;;ModelLevel;1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;Surface Downwelling Shortwave Radiation;;surface_downwelling_shortwave_flux_in_air;down;atmos;
ATHD_S;ATHD_S;rlds;ATHB_S + ATHU_S;;ModelLevel;1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;Surface Downwelling Longwave Radiation;;surface_downwelling_longwave_flux_in_air;down;atmos;
HSURF;HSURF;orog;;;;1;;;;;;;m;;;;;;;;;;0;Surface Altitude;;surface_altitude;;atmos;
FR_LAND;FR_LAND;sftlf;;;;100;;;;;;;%;;;;;;;;;;0;Percentage of the Grid Cell Occupied by Land;;land_area_fraction;;atmos;
T_G;T_G;ts;;;ModelLevel;1;;point;mean;mean;;0;K;;24;i;1;;1;;;;;Surface Temperature;;surface_temperature;;atmos;
