CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;description (CORDEX ADD);standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
T_2M;T_2M;tas;;;ModelLevel;1;point;point;mean;mean;mean;2;K;24;8;i;1;24;1;m*24;1;s*24;;Near-Surface Air Temperature;;air_temperature;;atmos;
TD_2M;TD_2M;tds;;;ModelLevel;1;;point;;;;2;K;;24;i;;;;;;;;2m Dew Point Temperature;;dew_point_temperature;;atmos;
TMAX_2M;TMAX_2M;tasmax;;;ModelLevel;1;;;maximum;maximum within days time: mean over days;maximum within days time: mean over days;2;K;;;a;1;;1;m;1;s;;Daily Maximum Near-Surface Air Temperature;;air_temperature;;atmos;
TMIN_2M;TMIN_2M;tasmin;;;ModelLevel;1;;;minimum;minimum within days time: mean over days;minimum within days time: mean over days;2;K;;;a;1;;1;m;1;s;;Daily Minimum Near-Surface Air Temperature;;air_temperature;;atmos;
TOT_PREC;TOT_PREC;pr;;;ModelLevel;0,000277778;mean;mean;mean;mean;mean;0;kg m-2 s-1;24;8;a;1;;1;;1;;;Precipitation;;precipitation_flux;;atmos;
PS;PS;ps;;;ModelLevel;1;;point;mean;;;0;Pa;;8;i;1;8;;;;;;Surface Air Pressure;;surface_air_pressure;;atmos;
PMSL;PMSL;psl;;;ModelLevel;1;;point;mean;mean;mean;0;Pa;;8;i;1;8;1;m*8;1;s*8;;Sea Level Pressure;;air_pressure_at_sea_level;;atmos;
QV_2M;QV_2M;huss;;;ModelLevel;1;;point;mean;mean;mean;2;1;;8;i;1;8;1;m*8;1;s*8;;Near-Surface Specific Humidity;;specific_humidity;;atmos;
RELHUM_2M;RELHUM_2M;hurs;;;ModelLevel;1;;point;mean;mean;mean;2;%;;8;i;1;8;1;m*8;1;s*8;;Near-Surface Relative Humidity;;relative_humidity;;atmos;
SP_10M;SP_10M;sfcWind;(U_10M^2+V_10M^2)^1/2;no;ModelLevel;1;;point;mean;mean;mean;10;m s-1;;8;i;1;8;1;m*8;1;s*8;;Near-Surface Wind Speed;;wind_speed;;atmos;
VABSMX_10M;VABSMX_10M;sfcWindmax;;;ModelLevel;1;;;maximum;maximum within days time: mean over days;maximum within days time: mean over days;10;m s-1;;;a;1;;1;m;1;s;;Daily Maximum Near-Surface Wind Speed;;wind_speed;;atmos;
CLCT;CLCT;clt;;;ModelLevel;100;;mean;mean;mean;mean;0;%;;8;i;1;24;1;m*24;1;s*24;;Total Cloud Fraction;;cloud_area_fraction;;atmos;
