WRF variable name;WRF variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
T2;T2;tas;;;ModelLevel;;;point;mean;mean;mean;2;K;;8;i;1;8;1;m*8;1;s*8;;Near-Surface Air Temperature;;air_temperature;;atmos;
T2MAX;T2MAX;tasmax;;;ModelLevel;;;;maximum;maximum within days time: mean over days;maximum within days time: mean over days;0;K;;;;1;;1;m;1;s;;Daily Maximum Near-Surface Air Temperature;;air_temperature;;atmos;
T2MIN;T2MIN;tasmin;;;ModelLevel;;;;minimum;minimum within days time: mean over days;minimum within days time: mean over days;0;K;;;;1;;1;m;1;s;;Daily Minimum Near-Surface Air Temperature;;air_temperature;;atmos;
RAIN;RAIN;pr;;;ModelLevel;;;mean;mean;mean;mean;0;kg m-2 s-1;;8;a;1;;1;;1;;;Precipitation;;precipitation_flux;;atmos;
PSFC;PSFC;ps;;;ModelLevel;;;point;mean;;;0;Pa;;8;i;1;8;;;;;;Surface Air Pressure;;surface_air_pressure;;atmos;
PMSL;PMSL;psl;;;ModelLevel;;;point;mean;mean;mean;0;Pa;;8;i;1;8;1;m*8;1;s*8;;Sea Level Pressure;;air_pressure_at_sea_level;;atmos;
;;huss;;;ModelLevel;;;point;mean;mean;mean;0;1;;8;i;1;8;1;m*8;1;s*8;;Near-Surface Specific Humidity;;specific_humidity;;atmos;
RH2;RH2;hurs;;;ModelLevel;;;point;mean;mean;mean;2;%;;8;i;1;8;1;m*8;1;s*8;;Near-Surface Relative Humidity;;relative_humidity;;atmos;
SPDUV10;SPDUV10;sfcWind;(U_10M^2+V_10M^2)^1/2;no;ModelLevel;1;;point;mean;mean;mean;10;m s-1;;8;i;1;8;1;m*8;1;s*8;;Near-Surface Wind Speed;;wind_speed;;atmos;
SPDUV10MAX;SPDUV10MAX;sfcWindmax;;;ModelLevel;;;point;mean;mean;mean;10;m s-1;;;;1;;1;m;1;s;;Daily Maximum Near-Surface Wind Speed;;wind_speed;;atmos;
