CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor;Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;Additional subdaily frq[1/day];"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
CAPE_ML;CAPE_ML;CAPE;;;ModelLevel;1;;point;maximum;;;0;J kg-1;;;i;1;24;;;;;;2-D Maximum convective available potential energy;CAPE based on a parcel with thermodynamical properties of a 50hPa deep mixed layer in the PBL;atmosphere_convective_available_potential_energy_wrt_surface;;atmos;
CIN_ML;CIN_ML;CIN;;;ModelLevel;1;;point;maximum;;;0;J kg-1;;;i;1;24;;;;;;2-D Maximum convective inhibition;CIN based on a parcel with thermodynamical properties of a 50hPa deep mixed layer in the PBL;atmosphere_convective_inhibition_wrt_surface;;atmos;
TQG;TQG;clgvi;;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;;;;;;;;Vertical integral of mass content of graupel;;atmosphere_mass_content_of_graupel;;atmos;
TQI;TQI;clivi;;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;;;;;;;;Ice Water Path;;atmosphere_cloud_ice_content;;atmos;
CLCT_AV;CLCT_AV;clt;;;ModelLevel;100;;mean;mean;mean;mean;0;%;;24;a;;;;;;;;Total Cloud Fraction;;cloud_area_fraction;;atmos;
TQW;TQW;clwvi;TQC + TQI;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;;;;;;;;Condensed Water Path;;atmosphere_cloud_condensed_water_content;;atmos;
AEVAP_S;AEVAP_S;evspsbl;;;ModelLevel;-0.000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;24;a;;;;;;;;Evaporation;;water_evaporation_flux;;atmos;
ALHFL_S;ALHFL_S;hfls;;;ModelLevel;-1;;mean;mean;mean;mean;0;W m-2;;24;a;;;;;;;;Surface Upward Latent Heat Flux;;surface_upward_latent_heat_flux;up;atmos;
ASHFL_S;ASHFL_S;hfss;;;ModelLevel;-1;;mean;mean;mean;mean;0;W m-2;;24;a;;;;;;;;Surface Upward Sensible Heat Flux;;surface_upward_sensible_heat_flux;up;atmos;
QV1000p;QV;hus1000;;;PressureLevel;1;;point;mean;mean;mean;1000000;1;;8;i;;;;;;;;Specific Humidity;;specific_humidity;;atmos;
QV200p;QV;hus200;;;PressureLevel;1;;point;mean;mean;mean;20000;1;;8;i;;;;;;;;Specific Humidity;;specific_humidity;;atmos;
QV500p;QV;hus500;;;PressureLevel;1;;point;mean;mean;mean;50000;1;;8;i;;;;;;;;Specific Humidity;;specific_humidity;;atmos;
QV700p;QV;hus700;;;PressureLevel;1;;point;mean;mean;mean;70000;1;;8;i;;;;;;;;Specific Humidity;;specific_humidity;;atmos;
QV850p;QV;hus850;;;PressureLevel;1;;point;mean;mean;mean;85000;1;;8;i;;;;;;;;Specific Humidity;;specific_humidity;;atmos;
QV925p;QV;hus925;;;PressureLevel;1;;point;mean;mean;mean;92500;1;;8;i;;;;;;;;Specific Humidity;;specific_humidity;;atmos;
QV_2M;QV_2M;huss;;;ModelLevel;1;;point;mean;mean;mean;2;1;;24;i;;;;;;;;Near-Surface Specific Humidity;;specific_humidity;;atmos;
RUNOFF_T;RUNOFF_T;mrro;RUNOFF_G + RUNOFF_S;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;24;a;;;;;;;;Total Runoff;;runoff_flux;;land;
RUNOFF_S;RUNOFF_S;mrros;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;24;a;;;;;;;;Surface Runoff;;surface_runoff_flux;;land;
W_SO;W_SO;mrso;Sum(W_SO(1:8));;ModelLevel;1000;;point;mean;mean;mean;8;kg m-2;;;i;1;4;;;;;;Total Soil Moisture Content;Sum over 8 levels from ground to 3.82 m depth;soil_moisture_content;;land;
W_SO;W_SO;mrsol;W_SO(1);;ModelLevel;1000;;point;mean;mean;mean;0;kg m-2;;;i;1;4;;;;;;Total Water Content of Soil Layer;depth of first soil layer: 1.0 cm;moisture_content_of_soil_layer;;land;
HSURF;HSURF;orog;;;;1;;;;;;;m;;;;;;;;;;0;Surface Altitude;;surface_altitude;;atmos;
TOT_PREC;TOT_PREC;pr;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;24;a;;;;;;;;Precipitation;;precipitation_flux;;atmos;
TQV;TQV;prw;;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;;;;;;;;Water Vapor Path;;atmosphere_water_vapor_content;;atmos;
PS;PS;ps;;;ModelLevel;1;;point;mean;mean;mean;0;Pa;;4;i;;;;;;;;Surface Air Pressure;;surface_air_pressure;;atmos;
PMSL;PMSL;psl;;;ModelLevel;1;;point;mean;mean;mean;0;Pa;;4;i;;;;;;;;Sea Level Pressure;ECMWF method used for psl calculation;air_pressure_at_sea_level;;atmos;
ALWD_S;ALWD_S;rlds;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;;;;;;;;Surface Downwelling Longwave Radiation;;surface_downwelling_longwave_flux_in_air;down;atmos;
ALWU_S;ALWU_S;rlus;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;;;;;;;;Surface Upwelling Longwave Radiation;;surface_upwelling_longwave_flux_in_air;up;atmos;
ASWD_S;ASWD_S;rsds;ASWDIR_S + ASWDIFD_S;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;;;;;;;;Surface Downwelling Shortwave Radiation;;surface_downwelling_shortwave_flux_in_air;down;atmos;
ASWDIFU_S;ASWDIFU_S;rsus;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;;;;;;;;Surface Upwelling Shortwave Radiation;;surface_upwelling_shortwave_flux_in_air;up;atmos;
VABSMX_10M;VABSMX_10M;sfcWindmax;;;ModelLevel;1;;;maximum;maximum within days time: mean over days;maximum within days time: mean over days;10;m s-1;;;a;1;24;;;;;;Daily Maximum Near-Surface Wind Speed;;wind_speed;;atmos;
FR_LAND;FR_LAND;sftlf;;;;100;;;;;;;%;;;;;;;;;;0;Land Area Fraction;;land_area_fraction;;atmos;
FR_SNOW;FR_SNOW;snc;Max(0.01,Min(1.,W_SNOW/0.015))*H(x);;ModelLevel;100;;point;mean;mean;mean;0;%;;;i;1;4;;;;;;Snow Area Fraction;;surface_snow_area_fraction;;landIce land;
H_SNOW;H_SNOW;snd;;;ModelLevel;1;;point;mean;mean;mean;0;m;;;i;1;4;;;;;;Snow Depth;;surface_snow_thickness;;landIce land;
T1000p;T;ta1000;;;PressureLevel;1;;point;mean;mean;mean;100000;K;;8;i;;;;;;;;Air Temperature;;air_temperature;;atmos;
T200p;T;ta200;;;PressureLevel;1;;point;mean;mean;mean;20000;K;;8;i;;;;;;;;Air Temperature;;air_temperature;;atmos;
T500p;T;ta500;;;PressureLevel;1;;point;mean;mean;mean;50000;K;;8;i;;;;;;;;Air Temperature;;air_temperature;;atmos;
T700p;T;ta700;;;PressureLevel;1;;point;mean;mean;mean;70000;K;;8;i;;;;;;;;Air Temperature;;air_temperature;;atmos;
T850p;T;ta850;;;PressureLevel;1;;point;mean;mean;mean;85000;K;;8;i;;;;;;;;Air Temperature;;air_temperature;;atmos;
T925p;T;ta925;;;PressureLevel;1;;point;mean;mean;mean;92500;K;;8;i;;;;;;;;Air Temperature;;air_temperature;;atmos;
